Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000         -22.9078     -22.9078       0.0000     0.0
0.2500         -22.9060     -22.9161       0.0100    77.5
0.5000         -22.9047     -22.9127       0.0080    62.0
0.7500         -22.9044     -22.9136       0.0092    71.4
1.0000         -22.9038     -22.9198       0.0159   123.3
1.2500         -22.9032     -22.9213       0.0181   139.7
1.5000         -22.9023     -22.9210       0.0187   144.4
1.7500         -22.9009     -22.9212       0.0203   157.1
2.0000         -22.9000     -22.9241       0.0240   185.9
2.2500         -22.8975     -22.9117       0.0141   109.4
2.5000         -22.8961     -22.9159       0.0198   153.2
2.7500         -22.8959     -22.9128       0.0169   130.6
3.0000         -22.8948     -22.9064       0.0116    89.9
3.2500         -22.8953     -22.9076       0.0123    95.1
3.5000         -22.8954     -22.9079       0.0124    96.2
3.7500         -22.8952     -22.9066       0.0114    88.4
4.0000         -22.8945     -22.9055       0.0111    85.6
4.2500         -22.8939     -22.9159       0.0220   169.8
4.5000         -22.8937     -22.9079       0.0142   110.2
4.7500         -22.8934     -22.9163       0.0230   177.7
5.0000         -22.8942     -22.9167       0.0225   174.1
5.2500         -22.8942     -22.9160       0.0217   168.1
5.5000         -22.8935     -22.9141       0.0207   159.8
5.7500         -22.8911     -22.9151       0.0240   185.8
6.0000         -22.8913     -22.9137       0.0224   173.3
6.2500         -22.8910     -22.9060       0.0150   116.2
6.5000         -22.8882     -22.9111       0.0228   176.8
6.7500         -22.8895     -22.9033       0.0138   106.9
7.0000         -22.8895     -22.9022       0.0126    97.8
7.2500         -22.8893     -22.9068       0.0175   135.7
7.5000         -22.8891     -22.9059       0.0168   130.0
7.7500         -22.8887     -22.9047       0.0160   123.8
8.0000         -22.8879     -22.9102       0.0223   172.4
8.2500         -22.8874     -22.9127       0.0253   195.4
8.5000         -22.8863     -22.9060       0.0197   152.4
8.7500         -22.8858     -22.9159       0.0301   232.5
9.0000         -22.8843     -22.9134       0.0291   224.8
9.2500         -22.8842     -22.9105       0.0263   203.5
9.5000         -22.8833     -22.9078       0.0245   189.8
9.7500         -22.8831     -22.9116       0.0285   220.8
10.0000        -22.8829     -22.9036       0.0207   160.3
10.2500        -22.8825     -22.9013       0.0189   145.8
10.5000        -22.8805     -22.9062       0.0257   198.8
10.7500        -22.8808     -22.8970       0.0162   125.6
11.0000        -22.8807     -22.9028       0.0221   170.9
11.2500        -22.8801     -22.9018       0.0217   167.7
11.5000        -22.8789     -22.9026       0.0237   183.1
11.7500        -22.8780     -22.9027       0.0247   191.1
12.0000        -22.8767     -22.9056       0.0288   223.0
12.2500        -22.8766     -22.9044       0.0277   214.4
12.5000        -22.8758     -22.9068       0.0310   240.0
12.7500        -22.8735     -22.9048       0.0313   242.0
13.0000        -22.8727     -22.8995       0.0269   207.9
13.2500        -22.8741     -22.9040       0.0299   231.4
13.5000        -22.8742     -22.9043       0.0301   233.2
13.7500        -22.8735     -22.9007       0.0272   210.2
14.0000        -22.8726     -22.9001       0.0275   213.1
14.2500        -22.8722     -22.9035       0.0313   242.0
14.5000        -22.8712     -22.8953       0.0241   186.2
14.7500        -22.8719     -22.8984       0.0265   204.9
15.0000        -22.8712     -22.9016       0.0304   235.3
15.2500        -22.8695     -22.9023       0.0329   254.3
15.5000        -22.8693     -22.8935       0.0242   187.2
15.7500        -22.8688     -22.9030       0.0342   264.6
16.0000        -22.8699     -22.8996       0.0297   230.1
16.2500        -22.8662     -22.8973       0.0311   240.5
16.5000        -22.8636     -22.9000       0.0364   281.9
16.7500        -22.8631     -22.9030       0.0398   308.0
17.0000        -22.8618     -22.8896       0.0277   214.3
17.2500        -22.8608     -22.9000       0.0392   303.0
17.5000        -22.8606     -22.9011       0.0404   312.9
17.7500        -22.8608     -22.8906       0.0299   231.0
18.0000        -22.8604     -22.8986       0.0382   295.5
18.2500        -22.8585     -22.8940       0.0355   274.8
18.5000        -22.8588     -22.8964       0.0376   290.9
18.7500        -22.8593     -22.8933       0.0340   263.1
19.0000        -22.8579     -22.8935       0.0357   275.9
19.2500        -22.8585     -22.8878       0.0292   225.9
19.5000        -22.8587     -22.8948       0.0362   279.7
19.7500        -22.8585     -22.8897       0.0312   241.5
20.0000        -22.8568     -22.8906       0.0337   261.0
20.2500        -22.8551     -22.8932       0.0381   295.0
20.5000        -22.8539     -22.8921       0.0382   295.8
20.7500        -22.8537     -22.8879       0.0342   264.4
21.0000        -22.8545     -22.8952       0.0407   315.2
21.2500        -22.8540     -22.8923       0.0383   296.3
21.5000        -22.8540     -22.8943       0.0403   311.7
21.7500        -22.8541     -22.8925       0.0385   297.5
22.0000        -22.8519     -22.8950       0.0431   333.5
22.2500        -22.8511     -22.8938       0.0427   330.4
22.5000        -22.8499     -22.8877       0.0378   292.6
