Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -3.0193      -3.0193       0.0000     0.0
1.2500          -3.0191      -3.0199       0.0008     5.9
2.5000          -3.0190      -3.0197       0.0007     5.2
3.7500          -3.0183      -3.0194       0.0012     9.0
5.0000          -3.0179      -3.0195       0.0016    12.0
6.2500          -3.0179      -3.0193       0.0014    10.7
7.5000          -3.0176      -3.0195       0.0018    14.3
8.7500          -3.0174      -3.0190       0.0016    12.5
10.0000         -3.0174      -3.0191       0.0017    13.1
11.2500         -3.0170      -3.0189       0.0020    15.4
12.5000         -3.0166      -3.0185       0.0019    14.7
13.7500         -3.0155      -3.0180       0.0025    19.4
C:\Users\ipere\Desktop\Math\projects\material science\quantum
